date,close
2017-02-10,1.8583
2017-02-13,1.8656
2017-02-14,1.867
2017-02-15,1.8496
2017-02-16,1.8616
2017-02-17,1.8487
2017-02-20,1.8729
2017-02-21,1.8874
2017-02-22,1.8961
2017-02-23,1.8989
2017-02-24,1.8995
2017-02-27,1.8838
2017-02-28,1.8902
2017-03-01,1.8964
2017-03-02,1.8874
2017-03-03,1.8914
2017-03-06,1.9093
2017-03-07,1.9143
2017-03-08,1.9073
2017-03-09,1.8846
2017-03-10,1.8905
2017-03-13,1.911
2017-03-14,1.902
2017-03-15,1.9003
2017-03-16,1.9174
2017-03-17,1.8984
2017-03-20,1.9045
2017-03-21,1.9127
2017-03-22,1.9056
2017-03-23,1.9096
2017-03-24,1.9216
2017-03-27,1.9101
2017-03-28,1.9059
2017-03-29,1.8995
2017-03-30,1.8709
2017-03-31,1.8745
2017-04-05,1.9227
2017-04-06,1.9222
2017-04-07,1.9256
2017-04-10,1.9236
2017-04-11,1.9452
2017-04-12,1.93
2017-04-13,1.9413
2017-04-14,1.9155
2017-04-17,1.8939
2017-04-18,1.8852
2017-04-19,1.863
2017-04-20,1.8622
2017-04-21,1.8507
2017-04-24,1.8008
2017-04-25,1.8064
2017-04-26,1.8098
2017-04-27,1.8162
2017-04-28,1.8224
2017-05-02,1.8204
2017-05-03,1.819
2017-05-04,1.8103
2017-05-05,1.7896
2017-05-08,1.7565
2017-05-09,1.7632
2017-05-10,1.7302
2017-05-11,1.7251
2017-05-12,1.7204
2017-05-15,1.729
2017-05-16,1.7652
2017-05-17,1.77
2017-05-18,1.7534
2017-05-19,1.7529
2017-05-22,1.7271
2017-05-23,1.696
2017-05-24,1.7033
2017-05-25,1.7161
2017-05-26,1.7176
2017-05-31,1.708
2017-06-01,1.6775
2017-06-02,1.6962
2017-06-05,1.7063
2017-06-06,1.7142
2017-06-07,1.7515
2017-06-08,1.7506
2017-06-09,1.7568
2017-06-12,1.7352
2017-06-13,1.7599
2017-06-14,1.754
2017-06-15,1.7697
2017-06-16,1.7686
2017-06-19,1.7815
2017-06-20,1.7868
2017-06-21,1.7899
2017-06-22,1.7644
2017-06-23,1.7697
2017-06-26,1.8019
2017-06-27,1.7972
2017-06-28,1.7916
2017-06-29,1.8022
2017-06-30,1.8078
2017-07-03,1.8199
2017-07-04,1.8123
2017-07-05,1.8235
2017-07-06,1.8235
2017-07-07,1.835
2017-07-10,1.8288
2017-07-11,1.8087
2017-07-12,1.8061
2017-07-13,1.8081
2017-07-14,1.8033
2017-07-17,1.7327
2017-07-18,1.7484
2017-07-19,1.7876
2017-07-20,1.796
2017-07-21,1.8025
2017-07-24,1.8165
2017-07-25,1.8159
2017-07-26,1.8126
2017-07-27,1.8241
2017-07-28,1.8342
2017-07-31,1.8594
2017-08-01,1.8543
2017-08-02,1.8459
2017-08-03,1.8468
2017-08-04,1.8361
2017-08-07,1.8622
2017-08-08,1.8602
2017-08-09,1.8726
2017-08-10,1.8572
2017-08-11,1.8224
2017-08-14,1.8594
2017-08-15,1.8605
2017-08-16,1.8628
2017-08-17,1.8813
2017-08-18,1.8731
2017-08-21,1.8914
2017-08-22,1.8838
2017-08-23,1.8692
2017-08-24,1.8555
2017-08-25,1.8751
2017-08-28,1.8964
2017-08-29,1.89
2017-08-30,1.9031
2017-08-31,1.9096
2017-09-01,1.9292
2017-09-04,1.937
2017-09-05,1.9384
2017-09-06,1.9491
2017-09-07,1.9348
2017-09-08,1.941
2017-09-11,1.9645
2017-09-12,1.96
2017-09-13,1.9732
2017-09-14,1.969
2017-09-15,1.9539
2017-09-18,1.9724
2017-09-19,1.9555
2017-09-20,1.9757
2017-09-21,1.9527
2017-09-22,1.9382
2017-09-25,1.9146
2017-09-26,1.923
2017-09-27,1.9404
2017-09-28,1.941
2017-09-29,1.9527
2017-10-09,1.9732
2017-10-10,1.9797
2017-10-11,1.9687
2017-10-12,1.9651
2017-10-13,1.9805
2017-10-16,1.9519
2017-10-17,1.9488
2017-10-18,1.939
2017-10-19,1.9194
2017-10-20,1.9387
2017-10-23,1.9519
2017-10-24,1.9499
2017-10-25,1.9609
2017-10-26,1.9642
2017-10-27,1.96
2017-10-30,1.9199
2017-10-31,1.934
2017-11-01,1.9292
2017-11-02,1.9101
2017-11-03,1.8933
2017-11-06,1.9197
2017-11-07,1.9309
2017-11-08,1.9345
2017-11-09,1.9505
2017-11-10,1.9567
2017-11-13,1.9654
2017-11-14,1.9511
2017-11-15,1.9272
2017-11-16,1.9323
2017-11-17,1.881
2017-11-20,1.8953
2017-11-21,1.9031
2017-11-22,1.895
2017-11-23,1.8479
2017-11-24,1.8515
2017-11-27,1.8269
2017-11-28,1.8558
2017-11-29,1.8616
2017-11-30,1.849
2017-12-01,1.8616
2017-12-04,1.851
2017-12-05,1.8106
2017-12-06,1.8187
2017-12-07,1.8078
2017-12-08,1.8277
2017-12-11,1.8546
2017-12-12,1.8387
2017-12-13,1.8546
2017-12-14,1.8588
2017-12-15,1.844
2017-12-18,1.83
